time,service_name,tx_optical_power_dbm,rx_optical_power_dbm
2025-12-01T00:00:00Z,qld-aqd8-d4wv-wdms01,1.615,-9.386
2025-12-01T00:15:00Z,qld-aqd8-d4wv-wdms01,1.558,-9.321
2025-12-01T00:30:00Z,qld-aqd8-d4wv-wdms01,1.658,-9.348
2025-12-01T00:45:00Z,qld-aqd8-d4wv-wdms01,1.678,-9.104
2025-12-01T01:00:00Z,qld-aqd8-d4wv-wdms01,1.544,-9.285
2025-12-01T01:15:00Z,qld-aqd8-d4wv-wdms01,1.587,-9.146
2025-12-01T01:30:00Z,qld-aqd8-d4wv-wdms01,1.668,-9.277
2025-12-01T01:45:00Z,qld-aqd8-d4wv-wdms01,1.655,-9.233
2025-12-01T02:00:00Z,qld-aqd8-d4wv-wdms01,1.68,-9.353
2025-12-01T02:15:00Z,qld-aqd8-d4wv-wdms01,1.647,-9.278
2025-12-01T02:30:00Z,qld-aqd8-d4wv-wdms01,1.742,-9.221
2025-12-01T02:45:00Z,qld-aqd8-d4wv-wdms01,1.745,-9.108
2025-12-01T03:00:00Z,qld-aqd8-d4wv-wdms01,1.718,-9.215
2025-12-01T03:15:00Z,qld-aqd8-d4wv-wdms01,1.778,-9.121
2025-12-01T03:30:00Z,qld-aqd8-d4wv-wdms01,1.752,-9.18
2025-12-01T03:45:00Z,qld-aqd8-d4wv-wdms01,1.692,-9.103
2025-12-01T04:00:00Z,qld-aqd8-d4wv-wdms01,1.759,-9.24
2025-12-01T04:15:00Z,qld-aqd8-d4wv-wdms01,1.698,-9.047
2025-12-01T04:30:00Z,qld-aqd8-d4wv-wdms01,1.795,-9.282
2025-12-01T04:45:00Z,qld-aqd8-d4wv-wdms01,1.752,-9.309
2025-12-01T05:00:00Z,qld-aqd8-d4wv-wdms01,1.749,-9.351
2025-12-01T05:15:00Z,qld-aqd8-d4wv-wdms01,1.727,-9.075
2025-12-01T05:30:00Z,qld-aqd8-d4wv-wdms01,1.825,-9.205
2025-12-01T05:45:00Z,qld-aqd8-d4wv-wdms01,1.757,-9.306
2025-12-01T06:00:00Z,qld-aqd8-d4wv-wdms01,1.745,-9.189
2025-12-01T06:15:00Z,qld-aqd8-d4wv-wdms01,1.749,-9.245
2025-12-01T06:30:00Z,qld-aqd8-d4wv-wdms01,1.793,-9.155
2025-12-01T06:45:00Z,qld-aqd8-d4wv-wdms01,1.784,-9.448
2025-12-01T07:00:00Z,qld-aqd8-d4wv-wdms01,1.784,-9.359
2025-12-01T07:15:00Z,qld-aqd8-d4wv-wdms01,1.783,-9.388
2025-12-01T07:30:00Z,qld-aqd8-d4wv-wdms01,1.866,-9.523
2025-12-01T07:45:00Z,qld-aqd8-d4wv-wdms01,1.735,-9.296
2025-12-01T08:00:00Z,qld-aqd8-d4wv-wdms01,1.726,-9.417
2025-12-01T08:15:00Z,qld-aqd8-d4wv-wdms01,1.706,-9.352
2025-12-01T08:30:00Z,qld-aqd8-d4wv-wdms01,1.773,-9.238
2025-12-01T08:45:00Z,qld-aqd8-d4wv-wdms01,1.793,-9.472
2025-12-01T09:00:00Z,qld-aqd8-d4wv-wdms01,1.724,-9.493
2025-12-01T09:15:00Z,qld-aqd8-d4wv-wdms01,1.682,-9.467
2025-12-01T09:30:00Z,qld-aqd8-d4wv-wdms01,1.675,-9.414
2025-12-01T09:45:00Z,qld-aqd8-d4wv-wdms01,1.742,-9.554
2025-12-01T10:00:00Z,qld-aqd8-d4wv-wdms01,1.739,-9.576
2025-12-01T10:15:00Z,qld-aqd8-d4wv-wdms01,1.721,-9.457
2025-12-01T10:30:00Z,qld-aqd8-d4wv-wdms01,1.652,-9.527
2025-12-01T10:45:00Z,qld-aqd8-d4wv-wdms01,1.688,-9.737
2025-12-01T11:00:00Z,qld-aqd8-d4wv-wdms01,1.674,-9.686
2025-12-01T11:15:00Z,qld-aqd8-d4wv-wdms01,1.67,-9.483
2025-12-01T11:30:00Z,qld-aqd8-d4wv-wdms01,1.693,-9.585
2025-12-01T11:45:00Z,qld-aqd8-d4wv-wdms01,1.652,-9.692
2025-12-01T12:00:00Z,qld-aqd8-d4wv-wdms01,1.665,-9.658
2025-12-01T12:15:00Z,qld-aqd8-d4wv-wdms01,1.626,-9.655
2025-12-01T12:30:00Z,qld-aqd8-d4wv-wdms01,1.628,-9.609
2025-12-01T12:45:00Z,qld-aqd8-d4wv-wdms01,1.636,-9.787
2025-12-01T13:00:00Z,qld-aqd8-d4wv-wdms01,1.522,-9.756
2025-12-01T13:15:00Z,qld-aqd8-d4wv-wdms01,1.57,-9.676
2025-12-01T13:30:00Z,qld-aqd8-d4wv-wdms01,1.554,-9.714
2025-12-01T13:45:00Z,qld-aqd8-d4wv-wdms01,1.537,-9.668
2025-12-01T14:00:00Z,qld-aqd8-d4wv-wdms01,1.547,-9.818
2025-12-01T14:15:00Z,qld-aqd8-d4wv-wdms01,1.628,-9.697
2025-12-01T14:30:00Z,qld-aqd8-d4wv-wdms01,1.503,-9.642
2025-12-01T14:45:00Z,qld-aqd8-d4wv-wdms01,1.587,-9.694
2025-12-01T15:00:00Z,qld-aqd8-d4wv-wdms01,1.448,-9.724
2025-12-01T15:15:00Z,qld-aqd8-d4wv-wdms01,1.51,-9.744
2025-12-01T15:30:00Z,qld-aqd8-d4wv-wdms01,1.529,-9.803
2025-12-01T15:45:00Z,qld-aqd8-d4wv-wdms01,1.545,-9.742
2025-12-01T16:00:00Z,qld-aqd8-d4wv-wdms01,1.546,-9.633
2025-12-01T16:15:00Z,qld-aqd8-d4wv-wdms01,1.546,-9.74
2025-12-01T16:30:00Z,qld-aqd8-d4wv-wdms01,1.486,-9.798
2025-12-01T16:45:00Z,qld-aqd8-d4wv-wdms01,1.211,-11.537
2025-12-01T17:00:00Z,qld-aqd8-d4wv-wdms01,1.275,-11.475
2025-12-01T17:15:00Z,qld-aqd8-d4wv-wdms01,1.22,-11.514
2025-12-01T17:30:00Z,qld-aqd8-d4wv-wdms01,1.165,-11.438
2025-12-01T17:45:00Z,qld-aqd8-d4wv-wdms01,1.172,-11.426
2025-12-01T18:00:00Z,qld-aqd8-d4wv-wdms01,1.183,-11.387
2025-12-01T18:15:00Z,qld-aqd8-d4wv-wdms01,1.254,-11.334
2025-12-01T18:30:00Z,qld-aqd8-d4wv-wdms01,1.504,-9.581
2025-12-01T18:45:00Z,qld-aqd8-d4wv-wdms01,1.534,-9.723
2025-12-01T19:00:00Z,qld-aqd8-d4wv-wdms01,1.481,-9.708
2025-12-01T19:15:00Z,qld-aqd8-d4wv-wdms01,1.513,-9.629
2025-12-01T19:30:00Z,qld-aqd8-d4wv-wdms01,1.541,-9.645
2025-12-01T19:45:00Z,qld-aqd8-d4wv-wdms01,1.499,-9.686
2025-12-01T20:00:00Z,qld-aqd8-d4wv-wdms01,1.542,-9.615
